Country name,Regional indicator,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Population 2020,Population 2019,"COVID-19 deaths per 100,000 population in 2020",Median age,Island,Index of exposure to COVID-19  infections in other countries as of March 31,Log of average distance to SARS countries,WHO Western Pacific Region,Female head of government,Index of institutional trust,Gini coefficient of income,"All-cause death count, 2017","All-cause death count, 2018","All-cause death count, 2019","All-cause death count, 2020","Excess deaths in 2020 per 100,000 population, relative to 2017-2019 average"
Finland,Western Europe,7.842,10.775,0.954,72,0.949,-0.098,0.186,5540718,5520314,10.125,42.79999924,0,2.225083351,8.926762581,0,1,0.549859822,25.9,53546,54394,53821,55663,31.51004219
Denmark,Western Europe,7.62,10.933,0.954,72.7,0.946,0.03,0.179,5792203,5818553,22.40939903,42.29999924,0,3.953056097,9.006084442,0,1,0.57176137,27.8,53103,55076,53805,55477,25.53377342
Switzerland,Western Europe,7.571,11.117,0.942,74.4,0.919,0.025,0.292,8654618,8574832,88.33430481,43.09999847,0,5.583521843,9.078126907,0,0,0.66000104,30.1,66703,66888,67515,77087,116.6800308
Iceland,Western Europe,7.554,10.878,0.983,73,0.955,0.16,0.673,341250,361313,8.498200417,37.29999924,1,1.649334788,9.06989193,0,1,0.325368732,24.1,2229,2247,2261,2321,21.44526672
Netherlands,Western Europe,7.464,10.932,0.942,72.4,0.913,0.175,0.338,17134873,17332850,67.26049805,43.20000076,0,5.573827267,9.059903145,0,0,0.522207856,27,149805,152991,151547,171175,114.4684143
Norway,Western Europe,7.392,11.053,0.954,73.3,0.96,0.093,0.27,5421242,5347896,8.04240036,39.70000076,0,2.675677776,8.99300766,0,1,0.605656207,24.8,40634,40716,40500,41155,9.997680664
Sweden,Western Europe,7.363,10.867,0.934,72.7,0.945,0.086,0.237,10099270,10285453,86.41220093,41,0,2.58993125,8.96301651,0,0,0.450581521,27,91626.5,91920.1,88544.7,99647.2,87.81182098
Luxembourg,Western Europe,7.324,11.647,0.908,72.6,0.907,-0.034,0.386,625976,619896,79.07649994,39.70000076,0,5.97362566,9.069664955,0,0,0.59492451,30.9,4251,4300,4288,4706,68.43937683
New Zealand,North America and ANZ,7.277,10.643,0.948,73.4,0.929,0.134,0.242,4822233,4917000,0.518400013,37.90000153,1,0.379029155,9.266324997,1,1,0.52656585,34.1,33495,33053,34088,33177,-7.563881874
Austria,Western Europe,7.268,10.906,0.934,73.3,0.908,0.042,0.481,9006400,8877067,69.084198,44.40000153,0,4.314682007,9.023252487,0,0,0.357603878,26.8,81311,82063,81557,91553,110.8211975
Australia,North America and ANZ,7.183,10.796,0.94,73.9,0.914,0.159,0.442,25499881,25364307,3.564699888,37.90000153,1,0.405097038,9.101801872,1,0,0.335049629,33,,,,,
